zipcode,complaint_rate
10001,0.1
10002,0.04
10003,0.08
10004,0.37
10005,0.24
10006,0.35
10007,0.16
10009,0.05
10010,0.07
10011,0.08
10012,0.12
10013,0.08
10014,0.1
10016,0.03
10017,0.06
10018,0.47
10019,0.08
10021,0.05
10022,0.04
10023,0.04
10024,0.03
10025,0.03
10026,0.14
10027,0.08
10028,0.03
10029,0.06
10030,0.14
10031,0.04
10032,0.04
10033,0.05
10034,0.04
10035,0.07
10036,0.1
10037,0.15
10038,0.1
10039,0.13
10040,0.05
10044,0.12
10065,0.06
10069,0.39
10075,0.05
10128,0.03
10162,0.85
10280,0.08
10282,0.2
10301,0.06
10302,0.12
10303,0.04
10304,0.03
10305,0.04
10306,0.03
10307,0.05
10308,0.03
10309,0.02
10310,0.08
10312,0.02
10314,0.01
10451,0.1
10452,0.1
10453,0.06
10454,0.08
10455,0.09
10456,0.05
10457,0.07
10458,0.08
10459,0.07
10460,0.06
10461,0.04
10462,0.04
10463,0.04
10464,0.16
10465,0.03
10466,0.04
10467,0.03
10468,0.06
10469,0.03
10470,0.17
10471,0.04
10472,0.07
10473,0.04
10474,0.22
10475,0.04
11001,0.01
11003,0.01
11004,0.02
11005,0.18
11010,0.01
11020,0.04
11021,0.02
11023,0.02
11024,0.06
11030,0.01
11040,0.0
11042,0.42
11050,0.0
11096,0.02
11101,0.07
11102,0.05
11103,0.09
11104,0.07
11105,0.05
11106,0.04
11109,0.52
11201,0.04
11203,0.04
11204,0.03
11205,0.09
11206,0.05
11207,0.04
11208,0.05
11209,0.02
11210,0.04
11211,0.03
11212,0.07
11213,0.08
11214,0.03
11215,0.04
11216,0.07
11217,0.06
11218,0.03
11219,0.02
11220,0.03
11221,0.06
11222,0.04
11223,0.03
11224,0.07
11225,0.06
11226,0.05
11228,0.04
11229,0.03
11230,0.04
11231,0.05
11232,0.06
11233,0.07
11234,0.01
11235,0.04
11236,0.04
11237,0.07
11238,0.07
11239,0.17
11354,0.03
11355,0.03
11356,0.07
11357,0.03
11358,0.03
11360,0.05
11361,0.04
11362,0.02
11363,0.06
11364,0.02
11365,0.03
11366,0.05
11367,0.09
11368,0.02
11369,0.05
11370,0.05
11372,0.06
11373,0.04
11374,0.06
11375,0.03
11377,0.02
11378,0.05
11379,0.05
11385,0.03
11411,0.05
11412,0.04
11413,0.03
11414,0.05
11415,0.07
11416,0.07
11417,0.04
11418,0.05
11419,0.03
11420,0.03
11421,0.06
11422,0.03
11423,0.04
11426,0.03
11427,0.03
11428,0.06
11429,0.04
11430,3.1
11432,0.02
11433,0.07
11434,0.02
11435,0.05
11436,0.09
11501,0.0
11507,0.01
11509,0.2
11510,0.0
11514,0.01
11516,0.1
11518,0.02
11520,0.0
11530,0.0
11542,0.0
11545,0.0
11547,0.06
11548,0.03
11552,0.0
11557,0.01
11558,0.02
11559,0.03
11560,0.01
11561,0.0
11563,0.01
11565,0.03
11568,0.0
11569,0.05
11570,0.0
11572,0.01
11576,0.01
11577,0.0
11579,0.02
11580,0.01
11581,0.04
11596,0.0
11598,0.03
11691,0.03
11692,0.07
11693,0.09
11694,0.04
11697,0.05
